,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,HOUSE_AGE
3787,KK Nagar,2314,27,4,2,6,AdjLand,Yes,Others,NoSeWa,Paved,RM,14159480,7300
3788,Anna Nagar,1695,98,1,1,4,AbNormal,Yes,House,NoSeWa,No Access,RL,11994050,12775
3789,Chrompet,1099,184,1,1,3,Partial,No,Commercial,ELO,Gravel,RM,13266650,11315
3790,T Nagar,1547,117,1,1,4,AdjLand,Yes,House,NoSeWa,Gravel,RM,13597890,13505
3791,Adyar,927,175,1,1,3,Family,No,Commercial,AllPub,Paved,C,10431690,2190
3792,Anna Nagar,1966,176,2,1,5,Partial,No,House,ELO,No Access,RL,11752460,12045
3793,KK Nagar,1541,35,2,1,4,AdjLand,No,Commercial,NoSeWa,Gravel,RL,13945940,6205
3794,Velachery,1978,20,3,2,5,Partial,Yes,Others,NoSeWa,No Access,RL,10699280,17885
3795,Karapakkam,1208,36,1,1,3,Family,Yes,Commercial,ELO,Gravel,RH,10895000,8760
3796,Karapakkam,659,16,1,1,2,AdjLand,No,House,ELO,Gravel,RH,5882500,7300
3797,T Nagar,1834,159,2,1,5,AdjLand,No,House,AllPub,Paved,RM,13990830,3285
3798,Chrompet,792,131,1,1,2,Normal Sale,Yes,Others,NoSeWa,Paved,RH,8344040,2920
3799,Chrompet,1262,189,2,1,4,AdjLand,No,Others,NoSeWa,Paved,RM,10773390,9855
3800,Chrompet,767,48,1,1,2,AbNormal,Yes,Others,NoSeWa,Gravel,RH,8320290,12410
3801,Karapakkam,1225,186,1,1,3,Family,No,Others,NoSeWa,No Access,A,4243125,12775
3802,Chrompet,732,96,1,1,2,AbNormal,Yes,House,ELO,Gravel,RH,7978600,1460
3803,Karapakkam,1647,170,2,2,4,AbNormal,Yes,Others,NoSeWa,Gravel,RM,11117625,8030
3804,KK Nagar,1344,163,2,1,4,Normal Sale,Yes,House,AllPub,Paved,RH,8991380,3285
3805,Adyar,807,68,1,1,3,Family,Yes,Others,ELO,Paved,C,7081160,8760
3806,Karapakkam,631,46,1,1,2,Normal Sale,Yes,Commercial,AllPub,Gravel,RH,8269500,8030
3807,T Nagar,1775,117,1,1,4,Normal Sale,Yes,House,ELO,Paved,RH,12397590,8030
3808,Adyar,753,22,1,1,2,AdjLand,Yes,House,AllPub,No Access,A,5716935,10585
3809,KK Nagar,1952,9,3,2,5,Partial,Yes,House,NoSeWa,Gravel,RL,11148980,6935
3810,Chrompet,1021,4,1,1,3,AbNormal,Yes,House,AllPub,Gravel,RH,9320800,5840
3811,Chrompet,1126,194,1,1,3,AbNormal,Yes,House,ELO,Gravel,RH,9282050,8395
3812,KK Nagar,2397,5,4,2,6,Partial,Yes,House,NoSeWa,Gravel,RL,12753880,5110
3813,Chrompet,1059,199,1,1,3,AbNormal,Yes,Commercial,ELO,Gravel,RM,14246650,9855
3814,KK Nagar,1625,82,2,1,4,AbNormal,Yes,House,AllPub,Gravel,RH,9902600,10950
3815,Karapakkam,1080,12,1,1,3,Family,Yes,Commercial,AllPub,Gravel,I,10254500,2190
3816,KK Nagar,2254,195,4,2,6,Partial,Yes,Others,AllPub,Paved,RH,12428040,2920
3817,Velachery,1696,189,2,1,4,Partial,No,Commercial,ELO,Gravel,I,13594630,3285
3818,Velachery,1943,68,3,2,5,AdjLand,No,Others,ELO,Gravel,RH,10774250,14600
3819,KK Nagar,1499,85,2,1,4,Partial,No,Commercial,NoSeWa,Paved,RM,13324620,4015
3820,Velachery,1782,179,2,1,4,AdjLand,Yes,Commercial,NoSeWa,Gravel,A,14471520,9490
3821,Anna Nagar,1505,174,1,1,4,Partial,No,Commercial,AllPub,No Access,RM,17242780,6935
3822,KK Nagar,2050,191,3,2,5,Family,Yes,Commercial,NoSeWa,Gravel,RH,16814260,4745
3823,Anna Nagar,1665,40,1,1,4,AdjLand,Yes,House,NoSeWa,Gravel,RH,12639580,16060
3824,Karapakkam,1391,115,2,2,4,Partial,Yes,House,NoSeWa,Paved,C,6642000,9490
3825,Anna Nagar,1797,24,1,1,4,Partial,Yes,House,NoSeWa,Gravel,RL,13049510,15695
3826,T Nagar,1514,185,1,1,4,AbNormal,No,Commercial,AllPub,No Access,RL,16835310,10220
3827,Adyar,786,118,1,1,2,Family,Yes,Others,AllPub,Gravel,RM,10371250,3650
3828,Velachery,1991,48,3,2,5,Family,Yes,Commercial,ELO,No Access,A,13805110,13870
3829,Velachery,1814,196,3,2,5,AbNormal,No,Commercial,AllPub,Gravel,A,13975040,2555
3830,Karapakkam,504,130,1,1,2,Family,No,Others,NoSeWa,Gravel,A,3454000,10220
3831,Adyar,1215,125,2,2,4,AbNormal,Yes,Commercial,NoSeWa,Gravel,RM,16693265,4015
3832,T Nagar,1934,183,2,1,5,AbNormal,No,House,NoSeWa,Gravel,RM,14154820,9490
3833,KK Nagar,1691,170,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RL,14691200,10950
3834,Chrompet,1294,12,2,1,4,Family,Yes,Commercial,NoSeWa,Paved,RM,15704500,5110
3835,KK Nagar,2268,194,4,2,6,Partial,No,Others,NoSeWa,Gravel,RH,11645200,4380
3836,Karapakkam,615,61,1,1,2,Family,No,Commercial,AllPub,Paved,RL,7284250,6935
3837,Karapakkam,1640,15,2,2,4,AbNormal,Yes,Others,AllPub,Gravel,RH,10169750,6205
3838,Chrompet,832,176,1,1,3,Normal Sale,No,Others,ELO,Gravel,RM,9252340,3650
3839,Anna Nagar,1919,5,2,1,5,Family,No,House,ELO,No Access,RM,12308240,13505
3840,Velachery,1788,164,2,1,4,Family,No,Others,ELO,Gravel,I,9689440,6205
3841,T Nagar,1674,127,1,1,4,Normal Sale,Yes,Others,ELO,Gravel,RH,13280420,14600
3842,Chrompet,723,12,1,1,2,Normal Sale,No,Others,NoSeWa,Paved,RM,7603010,13870
3843,Adyar,990,167,1,1,3,AdjLand,No,Commercial,NoSeWa,Gravel,A,10631860,8760
3844,KK Nagar,2219,73,3,2,5,AbNormal,No,Commercial,NoSeWa,Gravel,RL,17449820,7665
3845,Adyar,1167,193,1,1,3,AbNormal,No,House,AllPub,Paved,I,7904525,12775
3846,T Nagar,1566,85,1,1,4,AbNormal,No,Commercial,NoSeWa,No Access,RL,17187060,10220
3847,Chrompet,1053,195,1,1,3,Family,Yes,Others,NoSeWa,No Access,RM,10137210,1460
3848,Velachery,1781,9,2,1,4,AbNormal,No,Commercial,AllPub,Gravel,C,13206150,20075
3849,KK Nagar,2470,188,4,2,6,AdjLand,No,Others,NoSeWa,Gravel,RH,12792980,10585
3850,Velachery,1612,21,2,1,4,Normal Sale,No,Others,ELO,Gravel,C,8690980,5110
3851,KK Nagar,1418,73,2,1,4,Family,Yes,House,NoSeWa,Paved,RH,8878740,6205
3852,Chrompet,1032,192,1,1,3,AbNormal,Yes,House,AllPub,Gravel,RL,9629850,11315
3853,Karapakkam,1430,69,2,2,4,Family,Yes,Commercial,AllPub,Paved,RM,12919750,12045
3854,Chrompet,812,51,1,1,3,Partial,Yes,Commercial,ELO,Gravel,RM,12347950,3285
3855,Karapakkam,571,0,1,1,2,AdjLand,Yes,House,AllPub,Paved,A,4627500,5840
3856,Velachery,1709,187,2,1,4,Family,Yes,Commercial,AllPub,Paved,C,13822920,9490
3857,Chrompet,1128,141,1,1,3,Family,No,Commercial,AllPub,No Access,RL,12072650,12775
3858,KK Nagar,1731,156,2,1,4,AdjLand,No,Others,AllPub,Gravel,RL,11270960,2555
3859,Velachery,1620,170,2,1,4,Partial,Yes,Commercial,AllPub,No Access,RH,13957610,4745
3860,Velachery,1581,140,2,1,4,Family,Yes,Commercial,AllPub,No Access,I,13356200,3650
3861,Anna Nagar,1672,132,1,1,4,AbNormal,Yes,Others,NoSeWa,Paved,RM,14477850,6205
3862,Chrompet,1266,86,2,1,4,Partial,Yes,House,ELO,Paved,RH,9077550,10585
3863,Chrompet,1298,34,2,1,4,Normal Sale,Yes,Others,NoSeWa,Gravel,RM,11998010,9125
3864,T Nagar,1952,105,2,1,5,Family,Yes,House,ELO,Paved,RM,13942350,16425
3865,KK Nagar,2386,169,4,2,6,Partial,Yes,Others,NoSeWa,Paved,RL,12941380,8395
3866,Chrompet,1058,61,1,1,3,Family,Yes,House,NoSeWa,Paved,RH,8598500,8030
3867,Adyar,987,95,1,1,3,AdjLand,Yes,House,ELO,Paved,RH,9200725,5475
3868,Karapakkam,1256,198,1,1,3,Normal Sale,No,Commercial,NoSeWa,No Access,RH,9393000,4380
3869,KK Nagar,1824,143,3,2,5,AbNormal,No,Commercial,NoSeWa,Paved,RL,15122540,2555
3870,Velachery,1752,70,2,1,4,Family,No,Others,AllPub,No Access,I,8535580,8760
3871,Adyar,796,68,1,1,2,AdjLand,Yes,Commercial,ELO,No Access,C,9737150,3650
3872,Chrompet,1031,40,1,1,3,AdjLand,No,Others,ELO,Paved,RM,9241670,14600
3873,Chrompet,1114,60,1,1,3,Family,Yes,House,NoSeWa,Paved,RL,9688300,2190
3874,Anna Nagar,1567,179,1,1,4,AdjLand,No,Others,NoSeWa,No Access,RL,11630020,15695
3875,Adyar,1282,164,2,2,4,AbNormal,Yes,Others,ELO,Gravel,A,9301605,9855
3876,Chrompet,957,81,1,1,3,Family,Yes,Others,NoSeWa,No Access,RH,8292190,8030
3877,T Nagar,1510,14,1,1,4,Partial,No,Commercial,AllPub,Paved,RH,16300260,12045
3878,Karapakkam,1005,150,1,1,3,Partial,Yes,Others,NoSeWa,Paved,RH,7525375,2920
3879,Velachery,1824,123,3,2,5,Normal Sale,No,House,AllPub,No Access,A,6911070,11315
3880,Chrompet,837,172,1,1,3,Normal Sale,Yes,Commercial,NoSeWa,No Access,RH,10563700,6570
3881,Adyar,1103,44,1,1,3,Family,No,House,NoSeWa,Paved,I,7693965,4015
3882,Karapakkam,1386,97,2,2,4,Family,No,Others,NoSeWa,Paved,RL,8418500,1825
3883,Velachery,1588,80,2,1,4,Family,Yes,Commercial,AllPub,No Access,A,11516250,16425
3884,Chrompet,792,59,1,1,2,Family,No,Commercial,NoSeWa,Paved,RM,10567050,12775
3885,Chrompet,1241,152,2,1,4,Partial,Yes,House,NoSeWa,No Access,RL,8939050,12775
3886,KK Nagar,1571,1,2,1,4,AdjLand,Yes,Others,NoSeWa,Paved,RM,11648840,4015
3887,Chrompet,770,132,1,1,2,Partial,No,Commercial,NoSeWa,No Access,RL,8883750,12045
3888,Anna Nagar,1707,133,1,1,4,AbNormal,No,Commercial,NoSeWa,No Access,RH,17363590,15330
3889,T Nagar,1840,55,2,1,5,Normal Sale,Yes,House,NoSeWa,Gravel,RM,14477820,14965
3890,Karapakkam,972,35,1,1,3,Normal Sale,No,Others,ELO,Gravel,RH,6399750,15695
3891,Adyar,1000,33,1,1,3,AbNormal,No,Others,ELO,No Access,RL,8348770,6570
3892,T Nagar,1888,152,2,1,5,Family,Yes,House,NoSeWa,Gravel,RL,13764960,13870
3893,Karapakkam,557,29,1,1,2,Partial,Yes,Others,AllPub,No Access,A,3210125,13505
3894,Chrompet,1180,16,1,1,3,Partial,No,Others,NoSeWa,Gravel,RH,8889850,9855
3895,Chrompet,1219,124,2,1,4,Partial,Yes,Others,ELO,No Access,RL,9951030,1460
3896,Karapakkam,943,145,1,1,3,Normal Sale,Yes,Commercial,AllPub,Paved,I,8776500,9490
3897,Chrompet,1133,96,1,1,3,Family,Yes,House,NoSeWa,Gravel,RH,9468000,5840
3898,Adyar,1153,178,1,1,3,AdjLand,Yes,House,NoSeWa,Gravel,A,8350260,8760
3899,Velachery,1618,30,2,1,4,AdjLand,Yes,Commercial,AllPub,Gravel,RM,16354300,10950
3900,Karapakkam,1246,31,1,1,3,Family,Yes,Commercial,NoSeWa,No Access,A,7957500,13870
3901,KK Nagar,2389,109,4,2,6,Family,No,Commercial,NoSeWa,Paved,RM,18402940,9855
3902,KK Nagar,2227,163,4,2,6,Normal Sale,No,House,NoSeWa,Paved,RM,11820720,2190
3903,Anna Nagar,1853,42,2,1,5,AbNormal,Yes,House,NoSeWa,Gravel,RL,13761350,10950
3904,Chrompet,926,13,1,1,3,Partial,No,Commercial,ELO,Gravel,RM,11939850,9855
3905,T Nagar,1517,191,1,1,4,AdjLand,No,Others,NoSeWa,No Access,RL,11712660,9125
3906,KK Nagar,1721,61,2,1,4,AdjLand,No,House,AllPub,Paved,RH,9225240,8030
3907,Karapakkam,1231,126,1,1,3,Normal Sale,No,House,AllPub,Gravel,A,5711000,6570
3908,Karapakkam,1090,34,1,1,3,AdjLand,Yes,House,AllPub,No Access,A,4876500,18250
3909,Velachery,1590,56,2,1,4,AbNormal,Yes,Commercial,NoSeWa,No Access,RH,13925230,3285
3910,Karapakkam,1353,183,2,2,4,AbNormal,Yes,Others,ELO,Paved,I,7507375,12410
3911,Anna Nagar,1610,185,1,1,4,AbNormal,Yes,Others,ELO,Gravel,RL,13545830,10585
3912,T Nagar,1883,148,2,1,5,Normal Sale,Yes,Others,NoSeWa,Paved,RL,14866620,10585
3913,Chrompet,1029,178,1,1,3,Normal Sale,Yes,Commercial,ELO,Gravel,RL,13376150,10585
3914,Chrompet,1285,187,2,1,4,AdjLand,Yes,House,AllPub,Gravel,RM,11819950,10585
3915,Adyar,1210,175,2,2,4,AbNormal,Yes,Commercial,NoSeWa,No Access,C,12495925,12775
3916,Karapakkam,774,153,1,1,2,AdjLand,No,House,NoSeWa,Gravel,A,4182250,14235
3917,Chrompet,940,135,1,1,3,AbNormal,No,Others,ELO,Gravel,RL,9064800,1460
3918,Velachery,1893,70,3,2,5,Family,Yes,Others,NoSeWa,Paved,C,9995770,11315
3919,Chrompet,857,29,1,1,3,AdjLand,No,House,ELO,Gravel,RH,7377300,10950
3920,T Nagar,1563,114,1,1,4,AbNormal,No,Others,NoSeWa,No Access,RH,11277710,2190
3921,Velachery,1634,73,2,1,4,AbNormal,No,Others,AllPub,Paved,RH,9643920,5840
3922,KK Nagar,1483,161,2,1,4,Normal Sale,No,House,NoSeWa,Paved,RL,8756780,6935
3923,T Nagar,1902,173,2,1,5,Partial,Yes,Commercial,AllPub,Gravel,RH,21789460,4745
3924,T Nagar,1638,4,1,1,4,AdjLand,Yes,Others,AllPub,Gravel,RH,13906030,13505
3925,Anna Nagar,1877,4,2,1,5,Partial,Yes,Commercial,AllPub,Gravel,RL,21810920,9490
3926,Chrompet,751,162,1,1,2,AbNormal,Yes,Others,ELO,No Access,RM,8484620,6205
3927,KK Nagar,1873,130,3,2,5,AbNormal,No,Commercial,NoSeWa,Gravel,RL,15494260,8395
3928,Chrompet,1021,73,1,1,3,AdjLand,Yes,House,AllPub,No Access,RH,8387750,9125
3929,Karapakkam,1448,93,2,2,4,Family,Yes,Commercial,NoSeWa,Gravel,RM,13435000,8760
3930,Karapakkam,720,34,1,1,2,Normal Sale,No,Others,NoSeWa,Gravel,RL,6352250,14235
3931,Anna Nagar,1514,151,1,1,4,Family,No,Others,AllPub,Gravel,RL,12279230,10220
3932,KK Nagar,2347,90,4,2,6,Partial,No,Others,NoSeWa,Gravel,RM,12885880,9855
3933,KK Nagar,1816,170,3,2,5,Partial,Yes,House,NoSeWa,Paved,RM,10764320,9490
3934,Velachery,1615,29,2,1,4,Normal Sale,Yes,Others,NoSeWa,Paved,A,8092310,13870
3935,Velachery,1941,138,3,2,5,AbNormal,No,Others,AllPub,Gravel,RH,11014650,9125
3936,KK Nagar,2227,51,4,2,6,Normal Sale,Yes,House,AllPub,Paved,RL,12334760,2920
3937,Chrompet,1119,13,1,1,3,Partial,Yes,Commercial,ELO,No Access,RM,13267150,10585
3938,Chrompet,885,16,1,1,3,AbNormal,No,Others,ELO,Paved,RM,8414700,12775
3939,Karapakkam,1417,29,2,2,4,AdjLand,Yes,Commercial,NoSeWa,Paved,RL,12304750,13505
3940,Adyar,1278,175,2,2,4,Partial,Yes,House,NoSeWa,No Access,RL,9448455,13505
3941,Chrompet,1050,14,1,1,3,AdjLand,Yes,Others,NoSeWa,Gravel,RM,11284700,7300
3942,T Nagar,1706,29,1,1,4,Normal Sale,Yes,Others,NoSeWa,Paved,RH,13094870,15330
3943,Karapakkam,774,111,1,1,2,Family,No,Commercial,NoSeWa,Gravel,C,6353750,14965
3944,Anna Nagar,1751,183,1,1,4,Family,Yes,House,ELO,Paved,RM,13331980,6935
3945,Karapakkam,729,161,1,1,2,AdjLand,Yes,Others,NoSeWa,Gravel,I,6678875,8760
3946,Chrompet,1142,59,1,1,3,Partial,Yes,House,AllPub,Paved,RM,10065600,10220
3947,Velachery,1668,192,2,1,4,AbNormal,Yes,House,NoSeWa,Paved,RH,9150510,15695
3948,Chrompet,857,77,1,1,3,Family,No,Commercial,AllPub,Gravel,RM,12232800,2920
3949,Velachery,1774,190,2,1,4,Family,No,Commercial,ELO,Gravel,I,14103230,6935
3950,Chrompet,897,71,1,1,3,AbNormal,Yes,Others,ELO,Gravel,RH,8957390,8030
3951,T Nagar,1838,139,2,1,5,Family,No,Commercial,NoSeWa,Paved,RL,20241530,5110
3952,Adyar,1000,189,1,1,3,Family,Yes,Others,ELO,Gravel,A,8080925,5475
3953,Karapakkam,1209,9,1,1,3,Partial,No,Others,AllPub,No Access,RL,6567375,15330
3954,Chrompet,858,135,1,1,3,Partial,Yes,Commercial,NoSeWa,No Access,RH,10335050,6935
3955,Adyar,767,191,1,1,2,Normal Sale,Yes,House,AllPub,No Access,RM,9045605,2555
3956,T Nagar,1624,98,1,1,4,Family,Yes,Others,AllPub,Paved,RL,13234330,15695
3957,Karapakkam,579,7,1,1,2,Normal Sale,No,Others,AllPub,Gravel,I,5032625,13140
3958,Adyar,881,182,1,1,3,Family,Yes,Commercial,AllPub,No Access,RM,12724510,5110
3959,Chrompet,722,148,1,1,2,Family,Yes,House,ELO,Paved,RH,6888450,9855
3960,Velachery,1837,75,3,2,5,Normal Sale,No,Others,NoSeWa,Paved,RM,11411760,6570
3961,Chrompet,1296,112,2,1,4,Family,No,Others,AllPub,Paved,RL,9965620,12410
3962,Karapakkam,1624,28,2,2,4,Normal Sale,No,House,NoSeWa,Paved,RH,7651250,11315
3963,Anna Nagar,1630,45,1,1,4,AbNormal,Yes,Others,ELO,Gravel,RH,12938720,14965
3964,Chrompet,1257,183,2,1,4,AdjLand,No,Others,NoSeWa,Gravel,RH,9946290,8760
3965,Chrompet,1163,88,1,1,3,AdjLand,No,Commercial,AllPub,No Access,RH,12123250,12775
3966,Velachery,1652,120,2,1,4,Partial,Yes,Commercial,NoSeWa,No Access,C,12039380,16060
3967,Velachery,1566,134,2,1,4,AbNormal,No,House,ELO,Gravel,A,6776450,10950
3968,Velachery,1669,2,2,1,4,Normal Sale,No,Others,NoSeWa,Paved,A,7193030,17885
3969,Karapakkam,1009,148,1,1,3,Normal Sale,Yes,House,NoSeWa,Gravel,A,5272250,17885
3970,Adyar,750,127,1,1,2,AbNormal,No,Others,ELO,Paved,I,6252365,11315
3971,KK Nagar,2149,46,3,2,5,AdjLand,No,House,NoSeWa,Paved,RM,11840340,2555
3972,Velachery,1818,77,3,2,5,AbNormal,Yes,Others,NoSeWa,Gravel,A,9890560,8395
3973,KK Nagar,1623,123,2,1,4,Family,No,Commercial,AllPub,Paved,RM,14485900,1825
3974,Anna Nagar,1602,51,1,1,4,Normal Sale,Yes,House,ELO,Gravel,RL,12359320,13140
3975,Chrompet,1143,106,1,1,3,Family,No,Commercial,AllPub,Paved,RH,12716150,3285
3976,Adyar,865,75,1,1,3,Partial,No,House,NoSeWa,Paved,A,4982055,13505
3977,Anna Nagar,1880,174,2,1,5,Normal Sale,No,Commercial,NoSeWa,Paved,RL,20562600,7300
3978,Chrompet,721,73,1,1,2,AdjLand,No,Others,AllPub,Gravel,RM,8732470,9490
3979,T Nagar,1510,54,1,1,4,AbNormal,No,Others,ELO,No Access,RH,10754410,6570
3980,Adyar,1025,46,1,1,3,Normal Sale,Yes,Commercial,AllPub,Paved,RH,13168605,9855
3981,Karapakkam,762,87,1,1,2,Normal Sale,Yes,House,NoSeWa,Gravel,RM,7675750,17885
3982,T Nagar,1609,105,1,1,4,Normal Sale,No,Commercial,ELO,Paved,RL,17720900,16425
3983,Chrompet,869,110,1,1,3,Family,Yes,Commercial,ELO,Paved,RM,12454750,3285
3984,Adyar,1109,104,1,1,3,AbNormal,Yes,Commercial,ELO,Gravel,C,12735905,9855
3985,Adyar,928,93,1,1,3,Partial,No,House,AllPub,Gravel,C,6997335,3285
3986,Velachery,1747,51,2,1,4,Partial,Yes,Others,NoSeWa,Gravel,C,9983410,4745
3987,T Nagar,1526,111,1,1,4,Family,No,Commercial,ELO,Gravel,RM,18546530,3285
3988,T Nagar,1922,25,2,1,5,Normal Sale,Yes,House,AllPub,Paved,RH,13211540,15330
3989,KK Nagar,1366,3,2,1,4,AdjLand,No,House,AllPub,Gravel,RM,9808360,10220
3990,Karapakkam,731,46,1,1,2,AbNormal,No,House,ELO,Paved,A,3102500,11680
3991,T Nagar,1886,112,2,1,5,Family,No,House,NoSeWa,Gravel,RH,12040960,15695
3992,Velachery,1754,33,2,1,4,AbNormal,Yes,Others,NoSeWa,Gravel,RM,11963590,15330
3993,Adyar,1236,22,2,2,4,AdjLand,No,Commercial,AllPub,Gravel,C,13478895,12045
3994,Chrompet,1291,113,2,1,4,Family,Yes,House,NoSeWa,Gravel,RL,10499650,11315
3995,Anna Nagar,1744,66,1,1,4,Normal Sale,No,House,NoSeWa,No Access,RM,11667270,14965
3996,Adyar,933,139,1,1,3,AbNormal,No,House,NoSeWa,Paved,RM,9022165,4015
3997,Chrompet,747,78,1,1,2,Family,No,House,NoSeWa,No Access,RL,6206700,8030
3998,Velachery,1574,138,2,1,4,Family,Yes,House,NoSeWa,Paved,I,8287180,16060
3999,Chrompet,1290,151,2,1,4,Partial,No,Commercial,ELO,Paved,RH,13442250,4015
4000,Velachery,1574,111,2,1,4,Family,No,Commercial,AllPub,No Access,RM,13113330,19710
4001,Karapakkam,932,86,1,1,3,AbNormal,Yes,Commercial,NoSeWa,Paved,RM,10095000,13140
4002,Karapakkam,1047,63,1,1,3,AdjLand,No,Commercial,NoSeWa,Paved,I,8597500,5110
4003,Anna Nagar,1957,4,2,1,5,Family,No,Others,ELO,Paved,RH,13371220,6570
4004,Karapakkam,1511,77,2,2,4,Partial,Yes,House,AllPub,Gravel,RL,9268750,14235
4005,KK Nagar,1761,189,2,1,4,Partial,Yes,Commercial,AllPub,Paved,RH,14397160,10220
4006,KK Nagar,2287,137,4,2,6,AdjLand,No,House,NoSeWa,Paved,RM,12339780,3285
4007,Velachery,1749,177,2,1,4,Normal Sale,No,Others,NoSeWa,Paved,RL,10236960,6570
4008,Karapakkam,1550,5,2,2,4,AdjLand,Yes,House,NoSeWa,Paved,RH,8566750,13505
4009,T Nagar,1766,156,1,1,4,Partial,No,Commercial,NoSeWa,Paved,RH,18658980,8760
4010,Anna Nagar,1540,85,1,1,4,Normal Sale,Yes,Others,AllPub,Gravel,RH,13186470,5840
4011,Velachery,1874,45,3,2,5,AbNormal,No,House,AllPub,No Access,RL,9292000,12775
4012,Karapakkam,1454,25,2,2,4,Partial,No,House,ELO,No Access,RL,7202750,1825
4013,KK Nagar,2461,198,4,2,6,Family,No,House,AllPub,Paved,RH,11338920,2190
4014,Velachery,1528,194,2,1,4,AdjLand,Yes,Commercial,NoSeWa,Paved,I,13642920,7665
4015,Adyar,823,134,1,1,3,Normal Sale,No,Others,ELO,Gravel,C,7174375,1825
4016,KK Nagar,1389,164,2,1,4,Partial,No,Others,NoSeWa,Gravel,RM,9630040,8395
4017,Adyar,765,11,1,1,2,Normal Sale,No,House,ELO,Gravel,RL,8203665,4015
4018,Adyar,1244,180,2,2,4,Partial,Yes,Others,ELO,No Access,C,8661320,2920
4019,Velachery,1566,170,2,1,4,Normal Sale,Yes,Others,ELO,Gravel,RM,11548700,9125
4020,Anna Nagar,1539,69,1,1,4,Normal Sale,No,House,NoSeWa,Paved,RL,11320960,4745
4021,Chrompet,1283,127,2,1,4,Family,Yes,Commercial,AllPub,Paved,RM,15503650,12775
4022,Chrompet,1132,132,1,1,3,Normal Sale,Yes,Commercial,NoSeWa,No Access,RM,13606450,12775
4023,Chrompet,948,17,1,1,3,AdjLand,No,House,NoSeWa,No Access,RM,8423350,3285
4024,Karapakkam,589,101,1,1,2,Family,Yes,Others,NoSeWa,Paved,RL,6061625,17155
4025,Karapakkam,1025,84,1,1,3,AbNormal,No,Commercial,AllPub,No Access,I,7688000,5840
4026,Chrompet,885,105,1,1,3,Partial,Yes,Commercial,NoSeWa,No Access,RL,10958500,9490
4027,Karapakkam,758,80,1,1,2,Family,No,House,NoSeWa,Gravel,RL,6237500,10950
4028,Adyar,663,57,1,1,2,AdjLand,Yes,House,NoSeWa,No Access,A,5426740,5840
4029,Velachery,1530,173,2,1,4,Normal Sale,Yes,House,ELO,No Access,A,6752540,8030
4030,Velachery,1948,194,3,2,5,AdjLand,No,Others,AllPub,Paved,RH,10765530,14235
4031,Adyar,940,60,1,1,3,Family,Yes,House,AllPub,No Access,RL,8871195,4745
4032,T Nagar,1532,41,1,1,4,AbNormal,No,House,ELO,Paved,RH,10802190,2555
4033,Velachery,1894,194,3,2,5,Partial,Yes,Others,AllPub,No Access,C,8917740,17155
4034,KK Nagar,1373,184,2,1,4,Partial,No,Others,AllPub,Gravel,RH,8638540,8760
4035,Velachery,1528,135,2,1,4,Partial,No,House,AllPub,Gravel,I,7922150,10950
4036,Velachery,1826,44,3,2,5,Family,No,Others,NoSeWa,Gravel,I,9711430,14235
4037,Karapakkam,1132,163,1,1,3,AbNormal,No,House,ELO,No Access,RH,5330500,13870
4038,T Nagar,1955,78,2,1,5,AdjLand,Yes,House,AllPub,No Access,RM,14862430,5110
4039,Karapakkam,1036,32,1,1,3,AbNormal,Yes,House,NoSeWa,Gravel,RM,8901750,6205
4040,T Nagar,1504,136,1,1,4,AdjLand,Yes,Commercial,AllPub,Gravel,RM,20362800,1825
4041,Anna Nagar,1826,160,2,1,5,AdjLand,Yes,Others,NoSeWa,Paved,RM,15779500,5840
4042,Karapakkam,1609,123,2,2,4,Family,Yes,Commercial,AllPub,No Access,I,11274750,13505
4043,Karapakkam,891,49,1,1,3,Family,Yes,Commercial,NoSeWa,Paved,C,7999750,4745
4044,Karapakkam,1665,117,2,2,4,Partial,No,Others,NoSeWa,Gravel,C,7729125,4015
4045,Anna Nagar,1965,122,2,1,5,Family,Yes,Others,AllPub,No Access,RL,14411150,12775
4046,Chrompet,1157,27,1,1,3,AdjLand,No,Commercial,AllPub,No Access,RH,12632900,2190
4047,KK Nagar,2064,101,3,2,5,AbNormal,No,Commercial,NoSeWa,Gravel,RL,16497820,7665
4048,Chrompet,1181,12,1,1,3,Family,No,Others,NoSeWa,Gravel,RL,9847570,5840
4049,KK Nagar,1653,132,2,1,4,Normal Sale,Yes,Others,NoSeWa,Paved,RL,10794060,7300
4050,KK Nagar,2282,72,4,2,6,Normal Sale,No,House,NoSeWa,Gravel,RM,12171140,9855
4051,Karapakkam,1531,169,2,2,4,AbNormal,No,Commercial,ELO,Gravel,RH,11451250,12775
4052,Anna Nagar,1629,164,1,1,4,AdjLand,No,Commercial,ELO,Gravel,RM,19939120,2190
4053,Chrompet,1081,27,1,1,3,AdjLand,Yes,Others,NoSeWa,Gravel,RH,9778420,14235
4054,Karapakkam,1041,190,1,1,3,AdjLand,Yes,Commercial,NoSeWa,No Access,I,9045250,2555
4055,Chrompet,1175,29,1,1,3,Family,Yes,House,AllPub,Paved,RL,9758600,10220
4056,Chrompet,810,171,1,1,3,AdjLand,No,Commercial,NoSeWa,Paved,RH,9879950,10585
